# Description de l'altitude du circuit à parcourir
# en fonction de l'abscisse curviligne l
# Les données sont exprimées en mètres
Abscisse l, Altitude z
0,94.8
105.1,94.85
210.2,94.21
315.3,94.11
420.3,94.41
525.4,94.84
630.5,95.31
735.6,96.37
840.7,97.88
945.8,98.76
1050.9,98.46
1156,95.8
1261,93.9
1355.6,94.63
1387.1,95.46
1439.7,97.42
1492.2,97.81
1544.8,96.69
1649.9,95.64
1755,95.12
1965.1,94.14
2175.3,93.34
2280.4,93.1
2385.5,93.25
2438,93.23
2490.6,93.21
2595.6,93.59
2648.2,93.58
2700.7,93.86
2753.3,94.02
2858.4,94.69
2963.5,94.6
3068.5,93.87
3173.6,93.72
3226.2,94.26
3278.7,94.81
3336.5,95.08
3425.8,94.61
3530.9,94.93
3636,94.8
